"filename", "language", "HTML", "Ini", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\alan_wake2_requirements.html", "HTML", 185, 0, 0, 0, 13, 24, 222
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\bg3_difficulty.html", "HTML", 156, 0, 0, 0, 13, 23, 192
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\css\carousel.css", "CSS", 0, 0, 248, 0, 26, 42, 316
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\css\vg247_css.css", "CSS", 0, 0, 669, 0, 78, 167, 914
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\desktop.ini", "Ini", 0, 3, 0, 0, 0, 0, 3
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\diablo_IV.html", "HTML", 171, 0, 0, 0, 13, 26, 210
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\horizon_lamp_detail.html", "HTML", 161, 0, 0, 0, 13, 24, 198
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\index.html", "HTML", 329, 0, 0, 0, 35, 51, 415
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\index2_test.html", "HTML", 329, 0, 0, 0, 35, 51, 415
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\js\carousel_js.js", "JavaScript", 0, 0, 0, 967, 123, 129, 1219
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\js\vg247_java.js", "JavaScript", 0, 0, 0, 39, 7, 6, 52
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\mario_wonder.html", "HTML", 196, 0, 0, 0, 12, 28, 236
"c:\Users\User\Dropbox\Web Design\VG27 Mock Up\placeholder.html", "HTML", 12, 0, 0, 0, 1, 2, 15
"Total", "-", 1539, 3, 917, 1006, 369, 573, 4407
